,0,1,2,3,4
58,2021-03-07 13:30:26,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",VishalK63069768,,en
59,2021-03-07 13:30:22,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Shivsha11468313,"Gujarat, India",en
60,2021-03-07 13:30:13,"RT @Nethajiyashwant: One BJP MP called Bengaluru as ""terror hub""

Now due to the acts of BJP leaders, Bengaluru is being termed as ""porn hu…",JackSpa56153082,India,en
61,2021-03-07 13:29:42,"RT @Ajith_tweets: Lovely people of Bengaluru, RCB will miss playing at the Chinnaswamy this year. ☹️😑
FYI: Punjab Kings and KKR to play 5 g…",ImViratNavvy,,en
62,2021-03-07 13:29:42,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",RupeshK32328087,"नई दिल्ली, भारत",en
63,2021-03-07 13:29:34,RT @dhanyarajendran: Most of us living in Bengaluru travel by Metro and often question why Metro work is delayed. Let's sit back for a few…,pari617,Bangalore,en
64,2021-03-07 13:29:09,"RT @reach_santosh: I had conversation with a Bengali guy in Bengaluru couple of days back, he is damn sure that BJP will form government in…",raghusomnath,,en
65,2021-03-07 13:28:55,@BoycottHindi @VVani4U Last same type hindian arrogance was arrested &amp; filed F.I.R on her for abusing Kannada langu… https://t.co/soDk7VrVC4,ChannelsLv,,en
66,2021-03-07 13:28:44,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",Rdeepak50434727,,en
67,2021-03-07 13:28:17,@DHFWKA I am traveling to Bengaluru from Chennai by car. Is any epass required please?,RavirRamaswamy,,en
68,2021-03-07 13:28:02,"RT @ktanimara: ""The yellow-billed kite (Milvus aegyptius)"" Bengaluru, Karnataka, India, 2021-02-02 
https://t.co/ntU2RY8UFC
""counterpart of…",Towheehillart,Radford Virginia,en
69,2021-03-07 13:27:39,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",shivalishankarn,,en
70,2021-03-07 13:27:38,RT @prajwalmanipal: How the Bengaluru metro construction industry routinely gets away with not paying its workers. Wage disputes have incre…,HariniNagendra,"Bengaluru, India",en
71,2021-03-07 13:27:35,"RT @Ajith_tweets: Alright, the #IPL2021 Schedule is finally out. Starts April 9 and ends on 30th May. Chennai, Mumbai, Ahmedabad, Kolkata,…",ImViratNavvy,,en
72,2021-03-07 13:27:23,RT @dhanyarajendran: Most of us living in Bengaluru travel by Metro and often question why Metro work is delayed. Let's sit back for a few…,HariniNagendra,"Bengaluru, India",en
73,2021-03-07 13:26:47,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",PuranSi33889182,,en
74,2021-03-07 13:26:32,"RT @tarauk: Everyone who enjoys Bengaluru Metro travel should also spare a thought for the blood, sweat and tears that are building it - un…",thenidasheriff,"Bengaluru, Karnataka",en
75,2021-03-07 13:26:22,"RT @AshwiniMS_TNIE: Karnataka's ExAgri minister @krishnabgowda 's
push for GlobalRecognition of millets got BigBoost, UN GeneralAssembly pa…",vrundavs,bangalore..mandya,en
76,2021-03-07 13:26:20,"Join the Thermo Fisher Scientific team! See our latest #Engineering job openings, including ""Staff Engineer, Softwa… https://t.co/dibFNFRRHK",tmj_nda_jobs1,India,en
77,2021-03-07 13:25:24,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Nschib2Ns,"Jammu, Jammu And Kashmir",en
78,2021-03-07 13:25:01,"Software Engineering - Java Full Stack at JPMorgan Chase Bank, N.A (Bengaluru, India) https://t.co/QJawqKHK9J #java",StackDevJobs,,en
79,2021-03-07 13:24:56,"RT @Ajith_tweets: Lovely people of Bengaluru, RCB will miss playing at the Chinnaswamy this year. ☹️😑
FYI: Punjab Kings and KKR to play 5 g…",AKSHAYRAO181,"Karimnagar, India",en
80,2021-03-07 13:24:55,"RT @ESPNcricinfo: Ahmedabad, Bengaluru, Chennai, Delhi, Mumbai &amp; Kolkata will be the six host cities

There will be no home/away games. All…",cooper_grech,,en
81,2021-03-07 13:24:38,"RT @Beingsajiddarr: ISRO chief Dr. Sivan get his first COVID 19 vaccine in Bengaluru.

P.S - I'm his Fan ! Space is ♥️ https://t.co/392varv…",prabhav91030,,en
82,2021-03-07 13:24:37,"RT @KhushnumaKashm1: Javid Parsa runs Parsa’s, a restaurant chain that has 27 outlets across #Kashmir, #Noida, #Bengaluru and #Ladakh. This…",RoyalRa49109862,,en
83,2021-03-07 13:24:23,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",ArunPra53617433,,en
84,2021-03-07 13:24:22,@TheEconomist The tariffs WUD BE BETTER if PRODUCTS r sold at the place of origin at MSP AND TRANSPORTATION AND HAN… https://t.co/sqtF4mEPTJ,NShankarnarayan,,en
85,2021-03-07 13:24:06,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",patelmona9,"Mumbai, India",en
86,2021-03-07 13:23:59,"RT @reach_santosh: I had conversation with a Bengali guy in Bengaluru couple of days back, he is damn sure that BJP will form government in…",naanu_sheeku,ಗೊತ್ತಿಲ್ಲ,en
87,2021-03-07 13:23:52,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",CA_Deepanshu_G,"New Delhi, India",en
88,2021-03-07 13:23:42,"RT @RishiPrasadOrg: A door to door Rishi Prasad Campaign at Mahadevpura Area, Bengaluru with the holy inspiration of Sant Shri AsharamJi Ba…",Mandeep97376358,,en
89,2021-03-07 13:23:42,"Shops, small eateries, people living multi storey buildings (not those good apartments), drive at night or walk wit… https://t.co/7yYtPmMMWy",Equateall,India,en
90,2021-03-07 13:23:35,"RT @Nethajiyashwant: One BJP MP called Bengaluru as ""terror hub""

Now due to the acts of BJP leaders, Bengaluru is being termed as ""porn hu…",stanalb,"Mumbai, India",en
